1,411,663
2,342,97
3,268,94
4,157,295
5,204,179
6,100,317
7,95,63
8,325,663
9,47,634
10,780,542
11,715,518
12,691,203
13,621,134
14,980,632
15,982,399
16,961,120
17,611,184
18,956,157
19,184,329
20,204,224
21,130,480
22,100,362
23,94,109
24,161,560
25,315,607
26,241,669
27,243,599
28,141,671
29,48,669
30,600,387
31,745,589
32,701,480
33,674,421
34,668,312
35,745,310
36,631,251
37,238,461
38,748,421
39,738,188
40,809,679
41,982,570
42,980,433
43,705,92
44,777,127
45,765,248
46,842,423
47,602,681
48,708,679
49,834,329
50,862,184
51,846,224
52,350,402
53,560,634
54,412,606
55,404,453
56,367,323
57,387,219
58,342,137
59,399,97
60,421,157
61,600,318
62,282,127
63,308,186
64,278,231
65,251,186
66,256,322
67,255,376
68,176,406
